"pos_team","last","attempts","totalYards","xPts","Pts","PtsAdded","team","rk"
"Air Force","Dapore",3,78,7.7520014462462,6,-1.7520014462462,"Air Force",131
"Air Force","O'Neal",1,30,2.49579051954089,0,-2.49579051954089,"Air Force",148
"Air Force","Rodriguez",5,142,12.7489166793089,9,-3.74891667930886,"Air Force",161
"Akron","Smigel",4,145,8.69930979136005,9,0.300690208639945,"Akron",95
"Alabama","Reichard",9,309,20.3234926873416,27,6.67650731265838,"Alabama",11
"Appalachian State","Staton",11,378,24.7112736616928,33,8.28872633830717,"Appalachian State",3
"Arizona","Havrisik",10,355,22.1704901051376,21,-1.17049010513763,"Arizona",118
"Arizona","Loop",1,28,2.58063997562941,3,0.419360024370589,"Arizona",91
"Arizona State","Tyler",1,51,1.39017094185874,0,-1.39017094185874,"Arizona State",120
"Arizona State","Zendejas",5,154,12.1656729240494,12,-0.165672924049389,"Arizona State",105
"Arkansas","Little",12,424,26.295871990528,27,0.704128009471961,"Arkansas",81
"Arkansas",NA,1,34,2.31401601700517,3,0.68598398299483,"Arkansas",82
"Arkansas State","Grupe",10,374,21.3209681409619,21,-0.320968140961915,"Arkansas State",107
"Army","Maretzki",1,28,2.58063997562941,3,0.419360024370589,"Army",92
"Army","Talley",4,117,9.89973220602352,9,-0.899732206023524,"Army",112
"Auburn","Carlson",15,569,31.142474773808,36,4.85752522619197,"Auburn",22
"Ball State","Chanove",7,214,17.1425919595692,15,-2.14259195956925,"Ball State",139
"Ball State","Lewis",6,241,11.9063868592968,12,0.093613140703177,"Ball State",101
"Baylor","Hankins",8,304,16.7965841260957,24,7.2034158739043,"Baylor",8
"Boise State","Dalmas",17,561,39.6628640720939,45,5.3371359279061,"Boise State",18
"Boston College","Longman",2,51,5.34673500784382,6,0.653264992156184,"Boston College",84
"Boston College","Lytton",5,168,11.4709705740051,12,0.5290294259949,"Boston College",89
"Bowling Green","Needham",11,461,20.7940896044257,33,12.2059103955743,"Bowling Green",1
"Buffalo","McNulty",12,492,23.1785875673874,18,-5.17858756738743,"Buffalo",166
"BYU","Oldroyd",8,312,16.1759249216171,18,1.82407507838287,"BYU",62
"BYU","Smith",2,62,4.79898334548662,3,-1.79898334548662,"BYU",132
"California","Longhetto",5,193,10.1667301664885,12,1.83326983351152,"California",61
"Central Michigan","Meeder",12,499,22.9751402144466,27,4.02485978555341,"Central Michigan",30
"Charlotte","Cruz",5,177,11.1920028352805,9,-2.19200283528053,"Charlotte",143
"Cincinnati","Smith",8,283,17.750866560051,9,-8.75086656005105,"Cincinnati",170
"Clemson","Potter",7,255,14.810828643922,18,3.18917135607796,"Clemson",42
"Coastal Carolina","Biscardi",3,115,5.99534792979277,9,3.00465207020723,"Coastal Carolina",45
"Coastal Carolina","Colahan",1,38,2.11877851095448,3,0.881221489045523,"Coastal Carolina",79
"Coastal Carolina","Gray",2,69,4.45031518374929,3,-1.45031518374929,"Coastal Carolina",123
